11:25:05.130 [main] WARN  dao.AutoParkDao - asdjava.lang.NullPointerException
11:28:17.027 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:29:55.411 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:29:55.439 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:29:55.514 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:31:07.121 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:31:07.139 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
11:31:07.257 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
23:20:20.758 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
23:32:50.002 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
01:02:41.429 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
01:03:44.917 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
01:03:54.258 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
01:04:19.412 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
01:04:58.410 [main] WARN  dao.AutoParkDao - java.lang.NullPointerException
