13:09:24.546 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:09:59.274 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:10:19.882 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:10:44.136 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:10:56.907 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFile.txt (Системе не удается найти указанный путь)
13:11:07.913 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:17:14.232 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: resources\TextFlle.txt (Системе не удается найти указанный путь)
13:17:48.019 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: resources\TextFlle.txt (Системе не удается найти указанный путь)
13:18:57.817 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: TextFlle.txt (Не удается найти указанный файл)
13:21:04.048 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text (Отказано в доступе)
13:21:32.431 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text (Отказано в доступе)
13:22:01.699 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text\TextFlle.txt (Не удается найти указанный файл)
13:22:08.993 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text\TextFlle.txt (Не удается найти указанный файл)
13:22:49.617 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text\TextFlle.txt (Не удается найти указанный файл)
13:24:54.947 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\text\TextFlle.txt (Не удается найти указанный файл)
13:25:12.033 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:44:26.128 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: E:\rep\epamCourse\task2\src\main\java\resources\TextFlle.txt (Системе не удается найти указанный путь)
13:45:05.295 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: resources\TextFlle.txt (Системе не удается найти указанный путь)
13:45:22.157 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: resources\TextFlle.txt (Системе не удается найти указанный путь)
13:45:40.121 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: TextFlle (Не удается найти указанный файл)
13:46:05.464 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: TextFlle (Не удается найти указанный файл)
13:46:14.516 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: TextFlle (Не удается найти указанный файл)
13:56:06.571 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle (Не удается найти указанный файл)
13:56:35.639 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: \textFiles\TextFlle (Системе не удается найти указанный путь)
13:56:46.595 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
13:59:16.814 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
13:59:49.184 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:00:05.813 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:00:45.594 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:01:13.659 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:02:59.794 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:03:33.638 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:03:56.194 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:04:53.903 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
14:07:10.245 [main] WARN  text.TextFileWorker - java.io.FileNotFoundException: textFiles\TextFlle.txt (Не удается найти указанный файл)
20:32:19.592 [main] WARN  text.TextFileWorker - java.nio.file.NotDirectoryException: textFiles\text.txt
16:00:56.599 [main] WARN  part3.fileWork.TextFileWorker - java.nio.file.NoSuchFileException: \textFiles\TestTextFile.txt
16:01:11.134 [main] WARN  part3.fileWork.TextFileWorker - java.nio.file.NoSuchFileException: \textFiles\TestTextFile
16:02:15.733 [main] WARN  part3.fileWork.TextFileWorker - java.nio.file.NoSuchFileException: textFiles\TestTextFile.txt
